decending sorted100inputs
bubble sort,0msec
selection sort,0msec
insertion sort,0msec
decending sorted1000inputs
bubble sort,109msec
selection sort,47msec
insertion sort,94msec
decending sorted10000inputs
bubble sort,9992msec
selection sort,4527msec
insertion sort,8854msec
