125,msec
94,msec
62,msec
94,msec
125,msec
110,msec
109,msec
63,msec
109,msec
94,msec
94,msec
79,msec
62,msec
125,msec
125,msec
110,msec
78,msec
78,msec
78,msec
63,msec
110,msec
94,msec
109,msec
109,msec
93,msec
109,msec
125,msec
94,msec
141,msec
62,msec
78,msec
79,msec
109,msec
108,msec
63,msec
125,msec
109,msec
109,msec
94,msec
125,msec
78,msec
94,msec
94,msec
93,msec
63,msec
78,msec
79,msec
110,msec
62,msec
94,msec
109,msec
110,msec
78,msec
79,msec
109,msec
63,msec
110,msec
125,msec
125,msec
62,msec
109,msec
62,msec
78,msec
78,msec
125,msec
78,msec
93,msec
63,msec
62,msec
78,msec
109,msec
109,msec
110,msec
110,msec
78,msec
141,msec
78,msec
94,msec
63,msec
62,msec
78,msec
109,msec
125,msec
79,msec
110,msec
110,msec
79,msec
94,msec
110,msec
62,msec
93,msec
109,msec
79,msec
94,msec
94,msec
94,msec
109,msec
78,msec
125,msec
94,msec
