141,msec
140,msec
128,msec
133,msec
125,msec
125,msec
125,msec
141,msec
125,msec
125,msec
140,msec
125,msec
140,msec
140,msec
125,msec
141,msec
125,msec
141,msec
141,msec
125,msec
125,msec
125,msec
125,msec
141,msec
125,msec
125,msec
140,msec
141,msec
125,msec
125,msec
140,msec
125,msec
141,msec
125,msec
140,msec
125,msec
116,msec
125,msec
141,msec
125,msec
125,msec
125,msec
125,msec
141,msec
125,msec
125,msec
125,msec
156,msec
125,msec
125,msec
125,msec
125,msec
125,msec
125,msec
125,msec
141,msec
141,msec
140,msec
125,msec
125,msec
140,msec
125,msec
141,msec
125,msec
125,msec
125,msec
141,msec
125,msec
125,msec
141,msec
125,msec
125,msec
125,msec
125,msec
125,msec
125,msec
156,msec
141,msec
140,msec
125,msec
125,msec
141,msec
125,msec
125,msec
125,msec
141,msec
125,msec
140,msec
140,msec
157,msec
140,msec
125,msec
141,msec
125,msec
125,msec
125,msec
141,msec
125,msec
141,msec
125,msec
